Ron Dayne,HOU,RB,28,11,6,0,0,0,0,0,151,612,4.05,5,18,14,77,5.50,0,1,0,5,1,0,99,113.9,117.4,106.9,0,39,0
Jeff Garcia,PHI,QB,36,8,6,116,188,1309,10,2,25,87,3.48,0,0,0,0,0,0,6,0,0,0,1,99,93.1,101.1,95.1,0,32,0
Bryant Johnson,ARI,WR,25,16,8,0,0,0,0,0,1,-3,-3.00,0,74,40,740,18.50,4,1,0,4,0,0,98,136.7,140.2,116.7,0,41,0
Santonio Holmes,PIT,WR,22,16,4,0,0,0,0,0,1,13,13.00,0,86,49,824,16.82,2,5,0,3,0,0,96,145.7,151.2,121.2,0,42,0
Drew Bennett,TEN,WR,28,16,15,0,0,0,0,0,0,0,0,0,98,46,737,16.02,3,2,0,3,1,0,94,137.7,141.7,114.7,0,44,0
Joe Horn,NOR,WR,34,10,9,0,1,0,0,0,0,0,0,0,61,37,679,18.35,4,0,0,4,1,0,94,130.9,133.9,112.4,0,43,0
Wali Lundy,HOU,RB,23,14,8,0,0,0,0,0,124,476,3.84,4,39,33,204,6.18,0,1,0,4,1,0,94,126.0,132.5,109.5,0,40,0
DeAngelo Williams,CAR,RB,23,13,2,0,0,0,0,0,121,501,4.14,1,36,33,313,9.48,1,1,0,2,0,0,93,125.4,131.9,108.9,0,41,0
Antonio Bryant,SFO,WR,25,14,13,0,0,0,0,0,0,0,0,0,91,40,733,18.33,3,0,0,3,0,0,91,131.3,134.3,111.3,0,45,0
Jason Campbell,WAS,QB,25,7,7,110,207,1297,10,6,24,107,4.46,0,0,0,0,0,0,1,0,0,0,0,91,89.6,102.1,95.6,0,33,0
Arnaz Battle,SFO,WR,26,16,15,0,1,0,0,0,5,25,5.00,0,85,59,686,11.63,3,2,0,3,0,0,89,146.1,150.1,116.6,0,46,0
Reggie Williams,JAX,WR,23,16,14,0,0,0,0,0,7,33,4.71,0,91,52,616,11.85,4,1,0,4,0,0,89,139.9,143.4,113.9,0,47,0
Matt Jones,JAX,WR,23,14,4,0,0,0,0,0,2,-15,-7.50,0,76,41,643,15.68,4,1,0,4,0,0,87,126.8,130.3,106.3,0,49,0
Derrick Mason,BAL,WR,32,16,15,0,0,0,0,0,1,-4,-4.00,0,112,68,750,11.03,2,1,0,2,0,0,87,153.6,157.1,119.6,0,50,0
